ID;DATA;TEL;CPF;SOLICITANTE;DS_RECEITA;exame_de_imagem
0;15/02/2020;1100000000;12345670000;João;USO ORAL: 1) TORAGESIC 10 MG ------- TOMAR 1 COMPRIMIDO SUBLINGUAL A CADA 8 HORAS, POR 3 DIAS ;N�o
1;31/12/2020;1100000001;12345670001;Maria;RELATÓRIO MÉDICO ;N�o
2;02/01/2020;1100000002;12345670002;José;Uso oral 1)- Ibuprofeno gotas----- Dar 17 gotas de 8/8h por 2 dias  ;N�o
3;17/05/2020;1100000003;12345670003;Ana;USO ORAL  1) Dipirona 500mg/ml ------------------------------ Dar 17 gotas via oral de 6 em 6 horas se dor.  USO EXTERNO  1) AD MUC --------------------------------------------- Aplicar em região interna das bochechas antes das principais refeições.  ;N�o
4;13/01/2020;1100000004;12345670004;Pedro;Uso oral e contínuo  1. Fluoxetina 20 mg  TOmar 1 cp, vi oral, 1x/dia cedo  ;N�o
5;03/04/2020;1100000005;12345670005;Mariana;Uso oral 1 - Dipirona 1 g Tomar 1 comprimido por via oral de 6/6 horas se dor ou febre ;N�o
6;28/10/2020;1100000006;12345670006;Carlos;USO ORAL 1. FLORATIL 200MG ------------------01 CX TOMAR 1 CP DE 12/12 H POR 3 DIAS 2. ANNITA 500MG ---------------01 CX TOMAR 1 CP DE 12/12 H POR 3 DIAS 3. PANTOPRAZOL 40MG -------01 CX TOMAR 1 CP EM JEJUM 4. BUSCOPAM ---------------01 CX TOMAR 1 CP DE 8/8 H SE DOR ABDOMINAL 5. VONAU 08MG -------------01 CX TOMAR 1 CP DE 8/8 H SE NAUSEAS OU VOMITOS 6. ENTEROGERMINA PLUS ---------------01 CX TOMAR 1 FLACONETE 1X/DIA POR 3 DIAS ;N�o
7;24/11/2020;1100000007;12345670007;Paula;                                                     USO  INT               1- Zinnat 250mg                                          01 cx                    Tomar 01 cp VO 12/12h por 7 dias                2- Biprofenid 150mg                                     01 cx                    Tomar 01 cp VO 12/12h por 5 dias                 3- Lisador   DIP                                           01 cx                      Tomar 01 cp VO 6/6h por 3 dias ;N�o
8;18/10/2020;1100000008;12345670008;Lucas;USO ORAL - DIPIRONA 1G   TOMAR 1 COMPRIMIDO DE 6/6 HORAS, SE DOR OU FEBRE - IBUPROFENO 400MG    TOMAR 1 COMPRIMIDO DE 8/8 HORAS, POR 5 DIAS - VONAU    TOMAR 1 COMPRIMIDO SUBLINGUAL DE 8/8 HORAS, SE NAUSEA OU VOMITOS - ENTEROGERMINA PLUS   TOMAR 1 FLACONETE AO DIA POR 5 DIAS - TIORFAN 100MG     TOMAR1 COMPRIMIDO DE 8/8 HORAS, ENQUANTO PERDURAR A DIARREIA ;N�o
9;16/04/2020;1100000009;12345670009;Juliana; USO ORAL 1) DAFLON 1000 ------------     TOMAR 1CP AO DIA ;N�o
10;24/04/2020;1100000010;12345670010;Fernando;À Nutricionista,  Encaminho o paciente supracitado, portardor de HAS, DLP e obesidade 1 para avaliação e seguimento.  Grata, ;N�o
11;11/05/2020;1100000011;12345670011;Cristina; USO NASAL:  SORO FISIOLÓGICO 0,9%  FAZER LAVAGEM NASAL SEMPRE QUE NECESSÁRIO COM DISPOSITIVO ADEQUADO (SERINGA, NASOAR ENTRE OUTROS)  USO INALATÓRIO:  SORO FISIOLÓGICO 0,9% ---------------------- FAZER INALAÇÃO COM 5 ML, 3 VEZES AO DIA, POR 5 DIAS   ;N�o
12;25/11/2020;1100000012;12345670012;Rafael;USO ORAL: 1. PREDSIM 40MG TOMAR 01 CP AO DIA POR 5 DIAS 2. PROFENID 100MG TOMAR 01 CP DE 12/12H POR 5 DIAS 3. ACETILCISTEINA 600MG TOMAR 01 SACHE AO DIA POR 5-7 DIAS 4. DIPIRONA 1G TOMAR 01 CP DE 6/6H SE FEBRE ;N�o
13;21/08/2020;1100000013;12345670013;Patrícia;1- LISADOR DIP 1GR------------------------------------------1CX         TOMAR 1 CP VO DE 6/6 HS SE FEBRE OU DOR  ;N�o
14;22/12/2020;1100000014;12345670014;Vinícius;Peso: 8kg Uso oral 1- Paracetamol gotas Dar 8 gotas via oral 6/6 horas se dor ou febre Uso inalatorio 2- Inalação com Soro Fisiologico 0,9%----- 2ml                        Clenil A 400mcg-------------- Meio flaconete 1x a noite, 5 dias Uso Nasal 3- Soro fisiologico 0,9% Llimpeza nasal ;N�o
15;24/08/2020;1100000015;12345670015;Camila;Uso oral  1- Tolrest 25mg ----------- 14 comp  Tomar um comp via oral por 14 dias e apos aumentar para 50mg  2- Tolrest 50mg ------------- 60 comp  Tomar um comp via oral cedo até o retorno  ;N�o
