ID,DATA,TEL,CPF,SOLICITANTE,CD_TUSS,DS_RECEITA
9458,2020-04-25,1100009458,12345679458,Gustavo,40901114,Mamas
11161,2020-05-06,1100011161,123456711161,Maria,40601110,Procedimento Diagnóstico Em Biópsia Simples Imprint E Cell Block
14824,2020-02-03,1100014824,123456714824,Pedro,40805018,Tórax - 1 Incidência
259,2020-03-15,1100000259,12345670259,Isabela,40103064,Audiometria De Tronco Cerebral (Pea) Bera
7014,2020-08-18,1100007014,12345677014,Vinícius,40101010,Ecg Convencional De Até 12 Derivações
5827,2020-06-04,1100005827,12345675827,Paula,41101014,Crânio (Encéfalo)
8954,2020-09-06,1100008954,12345678954,Vinícius,40901114,Mamas
6637,2020-09-25,1100006637,12345676637,Tatiana,40901483,Doppler Colorido Venoso De Membro Inferior - Unilateral
8707,2020-06-13,1100008707,12345678707,Paula,20102020,Holter De 24 Horas - 3 Canais - Digital
14503,2020-08-17,1100014503,123456714503,Ana,40901300,Transvaginal (Inclui Abdome Inferior Feminino)
13490,2020-08-17,1100013490,123456713490,Fernando,40101037,Teste Ergométrico Computadorizado (Inclui Ecg Basal Convencional)
9946,2020-07-17,1100009946,12345679946,Carlos,40808041,Mamografia Digital Bilateral
12246,2020-11-18,1100012246,123456712246,Carlos,40601137,Procedimento Diagnóstico Em Citopatologia Cérvico-Vaginal Oncótica
98,2020-09-30,1100000098,12345670098,Gustavo,40103072,Audiometria Tonal Limiar Com Testes De Discriminação
5941,2020-04-20,1100005941,12345675941,Maria,41101014,Crânio (Encéfalo)
15534,2020-12-26,1100015534,123456715534,Vinícius,40901203,Órgãos Superficiais (Tireóide Ou Escroto Ou Pênis Ou Crânio)
9545,2020-06-09,1100009545,12345679545,Mariana,40901114,Mamas
9606,2020-04-19,1100009606,12345679606,Carlos,40901114,Mamas
3942,2020-07-19,1100003942,12345673942,José,40901122,Abdome Total (Inclui Pelve)
4829,2020-01-14,1100004829,12345674829,Juliana,40901220,Articular (Por Articulação)
7987,2020-08-27,1100007987,12345677987,Paula,40901106,Ecodopplercardiograma Transtorácico
4519,2020-11-08,1100004519,12345674519,Isabela,41101316,Articular (Por Articulação)
4084,2020-11-04,1100004084,12345674084,Pedro,40901122,Abdome Total (Inclui Pelve)
1799,2020-10-15,1100001799,12345671799,Isabela,41001117,Tc - Pelve Ou Bacia
9157,2020-10-26,1100009157,12345679157,Tatiana,40901114,Mamas
4451,2020-08-29,1100004451,12345674451,Cristina,41101316,Articular (Por Articulação)
1142,2020-05-30,1100001142,12345671142,José,40802051,Coluna Lombo-Sacra -3 Incidências
10641,2020-01-13,1100010641,123456710641,Maria,41101189,Pelve (Não Inclui Articulações Coxofemorais)
10682,2020-06-01,1100010682,123456710682,José,41101189,Pelve (Não Inclui Articulações Coxofemorais)
8842,2020-04-06,1100008842,12345678842,José,40901114,Mamas
374,2020-07-29,1100000374,12345670374,Vinícius,40601129,Procedimento Diagnóstico Citopatológico Oncótico De Líquidos E Raspados Cutâneos
5712,2020-05-15,1100005712,12345675712,Rafael,41101227,Coluna Cervical Ou Dorsal Ou Lombar
13482,2020-04-24,1100013482,123456713482,José,40101037,Teste Ergométrico Computadorizado (Inclui Ecg Basal Convencional)
12189,2020-07-04,1100012189,123456712189,Juliana,40601137,Procedimento Diagnóstico Em Citopatologia Cérvico-Vaginal Oncótica
12473,2020-08-03,1100012473,123456712473,Patrícia,40105075,Prova De Função Pulmonar Completa (Ou Espirometria)
11714,2020-03-19,1100011714,123456711714,Vinícius,40601110,Procedimento Diagnóstico Em Biópsia Simples Imprint E Cell Block
9600,2020-11-11,1100009600,12345679600,João,40901114,Mamas
2585,2020-03-09,1100002585,12345672585,Mariana,41101170,"Abdome Superior (Fígado, Pâncreas, Baço, Rins, Supra-Renais, Retroperitônio)"
11330,2020-01-18,1100011330,123456711330,Fernando,40601110,Procedimento Diagnóstico Em Biópsia Simples Imprint E Cell Block
11546,2020-03-16,1100011546,123456711546,Carlos,40601110,Procedimento Diagnóstico Em Biópsia Simples Imprint E Cell Block
6343,2020-08-02,1100006343,12345676343,Ana,40901360,Doppler Colorido De Vasos Cervicais Arteriais Bilateral (Carótidas E Vertebrais)
6250,2020-11-20,1100006250,12345676250,Fernando,40808130,Densitometria Óssea - 2 Segmentos (Coluna E Fêmur)
9366,2020-01-11,1100009366,12345679366,Carlos,40901114,Mamas
15245,2020-07-07,1100015245,123456715245,Mariana,40901203,Órgãos Superficiais (Tireóide Ou Escroto Ou Pênis Ou Crânio)
6546,2020-05-11,1100006546,12345676546,Carlos,40901360,Doppler Colorido De Vasos Cervicais Arteriais Bilateral (Carótidas E Vertebrais)
11002,2020-10-04,1100011002,123456711002,José,40601110,Procedimento Diagnóstico Em Biópsia Simples Imprint E Cell Block
5685,2020-06-29,1100005685,12345675685,Mariana,41101227,Coluna Cervical Ou Dorsal Ou Lombar
10116,2020-07-10,1100010116,123456710116,Rodrigo,40808041,Mamografia Digital Bilateral
13594,2020-08-12,1100013594,123456713594,Vinícius,40101037,Teste Ergométrico Computadorizado (Inclui Ecg Basal Convencional)
10595,2020-02-18,1100010595,123456710595,Camila,41101189,Pelve (Não Inclui Articulações Coxofemorais)
3355,2020-12-10,1100003355,12345673355,Camila,40901122,Abdome Total (Inclui Pelve)
10571,2020-03-26,1100010571,123456710571,Cristina,41101189,Pelve (Não Inclui Articulações Coxofemorais)
10979,2020-04-19,1100010979,123456710979,Isabela,40601110,Procedimento Diagnóstico Em Biópsia Simples Imprint E Cell Block
11068,2020-03-06,1100011068,123456711068,Lucas,40601110,Procedimento Diagnóstico Em Biópsia Simples Imprint E Cell Block
14913,2020-01-03,1100014913,123456714913,Patrícia,40805018,Tórax - 1 Incidência
5946,2020-11-28,1100005946,12345675946,Carlos,41101014,Crânio (Encéfalo)
6239,2020-10-18,1100006239,12345676239,Isabela,40808130,Densitometria Óssea - 2 Segmentos (Coluna E Fêmur)
117,2020-07-26,1100000117,12345670117,Tatiana,40103072,Audiometria Tonal Limiar Com Testes De Discriminação
10809,2020-07-20,1100010809,123456710809,Juliana,40601110,Procedimento Diagnóstico Em Biópsia Simples Imprint E Cell Block
4667,2020-04-19,1100004667,12345674667,Paula,41101316,Articular (Por Articulação)
10319,2020-07-21,1100010319,123456710319,Isabela,20102038,Monitorização Ambulatorial Da Pressão Arterial - Mapa (24 Horas)
2932,2020-05-05,1100002932,12345672932,Rafael,40901122,Abdome Total (Inclui Pelve)
7851,2020-03-09,1100007851,12345677851,Cristina,40901106,Ecodopplercardiograma Transtorácico
10403,2020-05-08,1100010403,123456710403,Ana,20102038,Monitorização Ambulatorial Da Pressão Arterial - Mapa (24 Horas)
7497,2020-08-08,1100007497,12345677497,Tatiana,40901106,Ecodopplercardiograma Transtorácico
10182,2020-05-13,1100010182,123456710182,José,40808041,Mamografia Digital Bilateral
1495,2020-06-11,1100001495,12345671495,Camila,40804011,Bacia
12320,2020-10-08,1100012320,123456712320,João,40601013,Procedimento Diagnóstico Peroperatório Sem Deslocamento Do Patologista
13707,2020-10-24,1100013707,123456713707,Paula,40101045,Teste Ergométrico Convencional - 3 Ou Mais Derivações Simultâneas (Inclui Ecg Basal Convencional)
3030,2020-07-28,1100003030,12345673030,Fernando,40901122,Abdome Total (Inclui Pelve)
7319,2020-06-26,1100007319,12345677319,Isabela,40101010,Ecg Convencional De Até 12 Derivações
6955,2020-03-23,1100006955,12345676955,Camila,40101010,Ecg Convencional De Até 12 Derivações
182,2020-01-08,1100000182,12345670182,José,40103072,Audiometria Tonal Limiar Com Testes De Discriminação
7541,2020-02-27,1100007541,12345677541,Maria,40901106,Ecodopplercardiograma Transtorácico
12122,2020-04-20,1100012122,123456712122,José,40601137,Procedimento Diagnóstico Em Citopatologia Cérvico-Vaginal Oncótica
